epoch,mean_best,std_best,min_best,max_best
0,0.00034934092905436476,0.0,0.00034934092905436476,0.00034934092905436476
1,0.00034934092905436476,0.0,0.00034934092905436476,0.00034934092905436476
2,0.00011153067353117385,0.0,0.00011153067353117385,0.00011153067353117385
3,1.0017329562024124e-05,0.0,1.0017329562024124e-05,1.0017329562024124e-05
4,4.45730603577867e-07,0.0,4.45730603577867e-07,4.45730603577867e-07
5,4.45730603577867e-07,0.0,4.45730603577867e-07,4.45730603577867e-07
6,1.4427411523424511e-07,0.0,1.4427411523424511e-07,1.4427411523424511e-07
7,8.69369181832478e-08,0.0,8.69369181832478e-08,8.69369181832478e-08
8,6.960591081177233e-09,0.0,6.960591081177233e-09,6.960591081177233e-09
9,1.3680804336188438e-09,0.0,1.3680804336188438e-09,1.3680804336188438e-09
10,8.166320065995266e-10,0.0,8.166320065995266e-10,8.166320065995266e-10
11,8.055703153419203e-11,0.0,8.055703153419203e-11,8.055703153419203e-11
12,4.1793153032140435e-12,0.0,4.1793153032140435e-12,4.1793153032140435e-12
13,1.7134920915868197e-12,0.0,1.7134920915868197e-12,1.7134920915868197e-12
14,2.4769907207489116e-13,0.0,2.4769907207489116e-13,2.4769907207489116e-13
15,2.4149491325333255e-15,0.0,2.4149491325333255e-15,2.4149491325333255e-15
16,2.4149491325333255e-15,0.0,2.4149491325333255e-15,2.4149491325333255e-15
17,2.4149491325333255e-15,0.0,2.4149491325333255e-15,2.4149491325333255e-15
18,7.018307056687936e-16,0.0,7.018307056687936e-16,7.018307056687936e-16
19,1.7421999525513606e-17,0.0,1.7421999525513606e-17,1.7421999525513606e-17
20,1.3031707349534175e-17,0.0,1.3031707349534175e-17,1.3031707349534175e-17
21,6.775562042643783e-18,0.0,6.775562042643783e-18,6.775562042643783e-18
22,4.410387485903769e-18,0.0,4.410387485903769e-18,4.410387485903769e-18
23,1.968809023907744e-19,0.0,1.968809023907744e-19,1.968809023907744e-19
24,1.541235709775611e-20,0.0,1.541235709775611e-20,1.541235709775611e-20
25,2.1563974623741937e-21,0.0,2.1563974623741937e-21,2.1563974623741937e-21
26,2.2005579742295355e-22,0.0,2.2005579742295355e-22,2.2005579742295355e-22
27,1.1794594722288734e-22,0.0,1.1794594722288734e-22,1.1794594722288734e-22
28,9.833248547582183e-23,0.0,9.833248547582183e-23,9.833248547582183e-23
29,2.3080370233146666e-23,0.0,2.3080370233146666e-23,2.3080370233146666e-23
30,1.2426451406755303e-24,0.0,1.2426451406755303e-24,1.2426451406755303e-24
31,3.001177933622631e-27,0.0,3.001177933622631e-27,3.001177933622631e-27
32,3.001177933622631e-27,0.0,3.001177933622631e-27,3.001177933622631e-27
33,3.001177933622631e-27,0.0,3.001177933622631e-27,3.001177933622631e-27
34,3.001177933622631e-27,0.0,3.001177933622631e-27,3.001177933622631e-27
35,2.242371313883542e-28,0.0,2.242371313883542e-28,2.242371313883542e-28
36,2.242371313883542e-28,0.0,2.242371313883542e-28,2.242371313883542e-28
37,4.8286338259558736e-29,0.0,4.8286338259558736e-29,4.8286338259558736e-29
38,9.943647581786772e-30,0.0,9.943647581786772e-30,9.943647581786772e-30
39,1.0569057611549677e-30,0.0,1.0569057611549677e-30,1.0569057611549677e-30
40,1.9716053898486358e-31,0.0,1.9716053898486358e-31,1.9716053898486358e-31
41,1.3588932713502513e-32,0.0,1.3588932713502513e-32,1.3588932713502513e-32
42,4.937653160365184e-33,0.0,4.937653160365184e-33,4.937653160365184e-33
43,1.5124336018217154e-33,0.0,1.5124336018217154e-33,1.5124336018217154e-33
