epoch,mean_best,std_best,min_best,max_best
0,179.2410820763401,0.0,179.2410820763401,179.2410820763401
1,4.363717123904744,0.0,4.363717123904744,4.363717123904744
2,2.878123694953412,0.0,2.878123694953412,2.878123694953412
3,0.045518035803262066,0.0,0.045518035803262066,0.045518035803262066
4,0.016679668110152406,0.0,0.016679668110152406,0.016679668110152406
5,0.016679668110152406,0.0,0.016679668110152406,0.016679668110152406
6,0.0016588274916087124,0.0,0.0016588274916087124,0.0016588274916087124
7,0.0005462641504816419,0.0,0.0005462641504816419,0.0005462641504816419
8,4.627376522578969e-05,0.0,4.627376522578969e-05,4.627376522578969e-05
9,4.627376522578969e-05,0.0,4.627376522578969e-05,4.627376522578969e-05
10,4.3969973753555056e-06,0.0,4.3969973753555056e-06,4.3969973753555056e-06
11,2.011032930971102e-06,0.0,2.011032930971102e-06,2.011032930971102e-06
12,1.450402859593745e-07,0.0,1.450402859593745e-07,1.450402859593745e-07
13,1.2809196862709922e-07,0.0,1.2809196862709922e-07,1.2809196862709922e-07
14,6.670395993040812e-08,0.0,6.670395993040812e-08,6.670395993040812e-08
15,2.1407989110478532e-08,0.0,2.1407989110478532e-08,2.1407989110478532e-08
16,1.1380217556008816e-09,0.0,1.1380217556008816e-09,1.1380217556008816e-09
17,3.9770635596471176e-10,0.0,3.9770635596471176e-10,3.9770635596471176e-10
18,1.7024827356598216e-11,0.0,1.7024827356598216e-11,1.7024827356598216e-11
19,1.7024827356598216e-11,0.0,1.7024827356598216e-11,1.7024827356598216e-11
20,8.68818362104262e-12,0.0,8.68818362104262e-12,8.68818362104262e-12
21,1.1623322113902306e-12,0.0,1.1623322113902306e-12,1.1623322113902306e-12
22,4.623315230170111e-13,0.0,4.623315230170111e-13,4.623315230170111e-13
23,7.565091510263718e-14,0.0,7.565091510263718e-14,7.565091510263718e-14
24,4.6721216795830124e-15,0.0,4.6721216795830124e-15,4.6721216795830124e-15
25,4.672121679583012e-15,0.0,4.672121679583012e-15,4.672121679583012e-15
26,2.9573426448549377e-16,0.0,2.9573426448549377e-16,2.9573426448549377e-16
27,4.6372439381349856e-17,0.0,4.6372439381349856e-17,4.6372439381349856e-17
28,4.5576339475594075e-17,0.0,4.5576339475594075e-17,4.5576339475594075e-17
29,4.6027005068562936e-18,0.0,4.6027005068562936e-18,4.6027005068562936e-18
30,4.6027005068562936e-18,0.0,4.6027005068562936e-18,4.6027005068562936e-18
31,2.8351187836737686e-19,0.0,2.8351187836737686e-19,2.8351187836737686e-19
32,2.1354903853715502e-19,0.0,2.1354903853715502e-19,2.1354903853715502e-19
33,7.974207608582785e-21,0.0,7.974207608582785e-21,7.974207608582785e-21
