epoch,mean_best,std_best,min_best,max_best
0,1730.5404257982336,0.0,1730.5404257982336,1730.5404257982336
1,361.59796179376207,0.0,361.59796179376207,361.59796179376207
2,332.41933888973733,0.0,332.41933888973733,332.41933888973733
3,0.3703411098492539,0.0,0.3703411098492539,0.3703411098492539
4,0.3703411098492539,0.0,0.3703411098492539,0.3703411098492539
5,0.024702898887647408,0.0,0.024702898887647408,0.024702898887647408
6,0.024702898887647408,0.0,0.024702898887647408,0.024702898887647408
7,0.007299335806817969,0.0,0.007299335806817969,0.007299335806817969
8,0.0030495715509637296,0.0,0.0030495715509637296,0.0030495715509637296
9,0.00016873551199887617,0.0,0.00016873551199887617,0.00016873551199887617
10,0.00016873551199887617,0.0,0.00016873551199887617,0.00016873551199887617
11,0.00016043642119771507,0.0,0.00016043642119771507,0.00016043642119771507
12,4.954142587824499e-06,0.0,4.954142587824499e-06,4.954142587824499e-06
13,3.864914618216197e-06,0.0,3.864914618216197e-06,3.864914618216197e-06
14,9.428841235287716e-07,0.0,9.428841235287716e-07,9.428841235287716e-07
15,6.267990832032739e-09,0.0,6.267990832032739e-09,6.267990832032739e-09
16,6.267990832032739e-09,0.0,6.267990832032739e-09,6.267990832032739e-09
17,6.267990832032739e-09,0.0,6.267990832032739e-09,6.267990832032739e-09
18,2.423737488908014e-09,0.0,2.423737488908014e-09,2.423737488908014e-09
19,1.6573104208517542e-09,0.0,1.6573104208517542e-09,1.6573104208517542e-09
20,2.436921747522173e-10,0.0,2.436921747522173e-10,2.436921747522173e-10
21,3.47784425426086e-11,0.0,3.47784425426086e-11,3.47784425426086e-11
22,1.6398084991904664e-11,0.0,1.6398084991904664e-11,1.6398084991904664e-11
23,3.4955706013507954e-12,0.0,3.4955706013507954e-12,3.4955706013507954e-12
24,1.6517961861535997e-12,0.0,1.6517961861535997e-12,1.6517961861535997e-12
25,9.11482399167877e-14,0.0,9.11482399167877e-14,9.11482399167877e-14
26,4.360559724896568e-14,0.0,4.360559724896568e-14,4.360559724896568e-14
27,2.180185096320643e-14,0.0,2.180185096320643e-14,2.180185096320643e-14
28,5.892196469502843e-16,0.0,5.892196469502843e-16,5.892196469502843e-16
29,1.8959232211361548e-16,0.0,1.8959232211361548e-16,1.8959232211361548e-16
30,1.8959232211361548e-16,0.0,1.8959232211361548e-16,1.8959232211361548e-16
31,1.6960122476620397e-16,0.0,1.6960122476620397e-16,1.6960122476620397e-16
32,1.3780492263904996e-16,0.0,1.3780492263904996e-16,1.3780492263904996e-16
33,1.1006694210549823e-16,0.0,1.1006694210549823e-16,1.1006694210549823e-16
34,1.0581783899558532e-16,0.0,1.0581783899558532e-16,1.0581783899558532e-16
35,1.0422491248078096e-16,0.0,1.0422491248078096e-16,1.0422491248078096e-16
36,1.0415523574119447e-16,0.0,1.0415523574119447e-16,1.0415523574119447e-16
37,1.0394757833520844e-16,0.0,1.0394757833520844e-16,1.0394757833520844e-16
38,1.0384596479129339e-16,0.0,1.0384596479129339e-16,1.0384596479129339e-16
39,1.0384596479129339e-16,0.0,1.0384596479129339e-16,1.0384596479129339e-16
40,1.0383902320424456e-16,0.0,1.0383902320424456e-16,1.0383902320424456e-16
41,1.03827319440471e-16,0.0,1.03827319440471e-16,1.03827319440471e-16
42,1.038262412828371e-16,0.0,1.038262412828371e-16,1.038262412828371e-16
43,1.0382593433521937e-16,0.0,1.0382593433521937e-16,1.0382593433521937e-16
44,1.0382564995253383e-16,0.0,1.0382564995253383e-16,1.0382564995253383e-16
45,1.0382563550180764e-16,0.0,1.0382563550180764e-16,1.0382563550180764e-16
46,1.0382563550180764e-16,0.0,1.0382563550180764e-16,1.0382563550180764e-16
47,1.0382563547950479e-16,0.0,1.0382563547950479e-16,1.0382563547950479e-16
48,1.0382563505464785e-16,0.0,1.0382563505464785e-16,1.0382563505464785e-16
49,1.0382563501617332e-16,0.0,1.0382563501617332e-16,1.0382563501617332e-16
50,1.0382563501580798e-16,0.0,1.0382563501580798e-16,1.0382563501580798e-16
51,1.038256350135286e-16,0.0,1.038256350135286e-16,1.038256350135286e-16
52,1.038256350135286e-16,0.0,1.038256350135286e-16,1.038256350135286e-16
53,1.0382563501337833e-16,0.0,1.0382563501337833e-16,1.0382563501337833e-16
54,1.0382563501337833e-16,0.0,1.0382563501337833e-16,1.0382563501337833e-16
55,1.0382563501337833e-16,0.0,1.0382563501337833e-16,1.0382563501337833e-16
56,1.0382563501337806e-16,0.0,1.0382563501337806e-16,1.0382563501337806e-16
57,1.0382563501337805e-16,0.0,1.0382563501337805e-16,1.0382563501337805e-16
58,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
59,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
60,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
61,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
62,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
63,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
64,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
65,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
66,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
67,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
68,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
69,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
70,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
71,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
72,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
73,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
74,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
75,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
76,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
77,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
78,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
79,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
80,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
81,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
82,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
83,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
84,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
85,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
86,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
87,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
88,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
89,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
90,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
91,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
92,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
93,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
94,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
95,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
96,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
97,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
98,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
99,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
100,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
101,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
102,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
103,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
104,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
105,1.03825635013378e-16,0.0,1.03825635013378e-16,1.03825635013378e-16
