epoch,mean_best,std_best,min_best,max_best
0,-137.86394084036715,0.0,-137.86394084036715,-137.86394084036715
1,-164.48099251253046,0.0,-164.48099251253046,-164.48099251253046
2,-189.51490220254627,0.0,-189.51490220254627,-189.51490220254627
3,-191.71835459347096,0.0,-191.71835459347096,-191.71835459347096
4,-199.81575152672127,0.0,-199.81575152672127,-199.81575152672127
5,-199.81575152672127,0.0,-199.81575152672127,-199.81575152672127
6,-199.81575152672127,0.0,-199.81575152672127,-199.81575152672127
7,-199.81575152672127,0.0,-199.81575152672127,-199.81575152672127
8,-199.91089789498764,0.0,-199.91089789498764,-199.91089789498764
9,-199.93726790659824,0.0,-199.93726790659824,-199.93726790659824
10,-199.98140420369907,0.0,-199.98140420369907,-199.98140420369907
11,-199.9943035609972,0.0,-199.9943035609972,-199.9943035609972
12,-199.99676879415222,0.0,-199.99676879415222,-199.99676879415222
13,-199.99676879415222,0.0,-199.99676879415222,-199.99676879415222
14,-199.99914640540183,0.0,-199.99914640540183,-199.99914640540183
15,-199.9996850961193,0.0,-199.9996850961193,-199.9996850961193
16,-199.99979976025074,0.0,-199.99979976025074,-199.99979976025074
17,-199.99989421810915,0.0,-199.99989421810915,-199.99989421810915
18,-199.99998332206508,0.0,-199.99998332206508,-199.99998332206508
19,-199.99998332206508,0.0,-199.99998332206508,-199.99998332206508
20,-199.99999643538737,0.0,-199.99999643538737,-199.99999643538737
21,-199.99999651107305,0.0,-199.99999651107305,-199.99999651107305
22,-199.99999922969812,0.0,-199.99999922969812,-199.99999922969812
23,-199.99999922969812,0.0,-199.99999922969812,-199.99999922969812
24,-199.9999995225251,0.0,-199.9999995225251,-199.9999995225251
25,-199.99999971449233,0.0,-199.99999971449233,-199.99999971449233
26,-199.9999999239021,0.0,-199.9999999239021,-199.9999999239021
27,-199.99999992992693,0.0,-199.99999992992693,-199.99999992992693
28,-199.99999999095678,0.0,-199.99999999095678,-199.99999999095678
29,-199.99999999095678,0.0,-199.99999999095678,-199.99999999095678
30,-199.99999999902133,0.0,-199.99999999902133,-199.99999999902133
31,-199.99999999902133,0.0,-199.99999999902133,-199.99999999902133
32,-199.9999999990531,0.0,-199.9999999990531,-199.9999999990531
33,-199.9999999990892,0.0,-199.9999999990892,-199.9999999990892
34,-199.99999999941753,0.0,-199.99999999941753,-199.99999999941753
35,-199.9999999999018,0.0,-199.9999999999018,-199.9999999999018
36,-199.99999999994117,0.0,-199.99999999994117,-199.99999999994117
37,-199.99999999995956,0.0,-199.99999999995956,-199.99999999995956
38,-199.99999999998371,0.0,-199.99999999998371,-199.99999999998371
39,-199.9999999999966,0.0,-199.9999999999966,-199.9999999999966
40,-199.9999999999971,0.0,-199.9999999999971,-199.9999999999971
41,-199.99999999999912,0.0,-199.99999999999912,-199.99999999999912
42,-199.99999999999926,0.0,-199.99999999999926,-199.99999999999926
43,-199.99999999999952,0.0,-199.99999999999952,-199.99999999999952
44,-199.99999999999986,0.0,-199.99999999999986,-199.99999999999986
45,-199.9999999999999,0.0,-199.9999999999999,-199.9999999999999
46,-199.99999999999994,0.0,-199.99999999999994,-199.99999999999994
47,-199.99999999999997,0.0,-199.99999999999997,-199.99999999999997
48,-199.99999999999997,0.0,-199.99999999999997,-199.99999999999997
49,-200.0,0.0,-200.0,-200.0
50,-200.0,0.0,-200.0,-200.0
51,-200.0,0.0,-200.0,-200.0
52,-200.0,0.0,-200.0,-200.0
53,-200.0,0.0,-200.0,-200.0
54,-200.0,0.0,-200.0,-200.0
55,-200.0,0.0,-200.0,-200.0
56,-200.0,0.0,-200.0,-200.0
57,-200.0,0.0,-200.0,-200.0
58,-200.0,0.0,-200.0,-200.0
59,-200.0,0.0,-200.0,-200.0
60,-200.0,0.0,-200.0,-200.0
61,-200.0,0.0,-200.0,-200.0
62,-200.0,0.0,-200.0,-200.0
63,-200.0,0.0,-200.0,-200.0
64,-200.0,0.0,-200.0,-200.0
65,-200.0,0.0,-200.0,-200.0
66,-200.0,0.0,-200.0,-200.0
67,-200.0,0.0,-200.0,-200.0
68,-200.0,0.0,-200.0,-200.0
69,-200.0,0.0,-200.0,-200.0
70,-200.0,0.0,-200.0,-200.0
71,-200.0,0.0,-200.0,-200.0
72,-200.0,0.0,-200.0,-200.0
73,-200.0,0.0,-200.0,-200.0
74,-200.0,0.0,-200.0,-200.0
75,-200.0,0.0,-200.0,-200.0
76,-200.0,0.0,-200.0,-200.0
77,-200.0,0.0,-200.0,-200.0
78,-200.0,0.0,-200.0,-200.0
79,-200.0,0.0,-200.0,-200.0
80,-200.0,0.0,-200.0,-200.0
81,-200.0,0.0,-200.0,-200.0
82,-200.0,0.0,-200.0,-200.0
83,-200.0,0.0,-200.0,-200.0
84,-200.0,0.0,-200.0,-200.0
85,-200.0,0.0,-200.0,-200.0
86,-200.0,0.0,-200.0,-200.0
87,-200.0,0.0,-200.0,-200.0
88,-200.0,0.0,-200.0,-200.0
89,-200.0,0.0,-200.0,-200.0
90,-200.0,0.0,-200.0,-200.0
91,-200.0,0.0,-200.0,-200.0
92,-200.0,0.0,-200.0,-200.0
93,-200.0,0.0,-200.0,-200.0
94,-200.0,0.0,-200.0,-200.0
95,-200.0,0.0,-200.0,-200.0
96,-200.0,0.0,-200.0,-200.0
97,-200.0,0.0,-200.0,-200.0
98,-200.0,0.0,-200.0,-200.0
99,-200.0,0.0,-200.0,-200.0
100,-200.0,0.0,-200.0,-200.0
101,-200.0,0.0,-200.0,-200.0
102,-200.0,0.0,-200.0,-200.0
103,-200.0,0.0,-200.0,-200.0
104,-200.0,0.0,-200.0,-200.0
105,-200.0,0.0,-200.0,-200.0
106,-200.0,0.0,-200.0,-200.0
107,-200.0,0.0,-200.0,-200.0
108,-200.0,0.0,-200.0,-200.0
109,-200.0,0.0,-200.0,-200.0
110,-200.0,0.0,-200.0,-200.0
111,-200.0,0.0,-200.0,-200.0
112,-200.0,0.0,-200.0,-200.0
113,-200.0,0.0,-200.0,-200.0
114,-200.0,0.0,-200.0,-200.0
115,-200.0,0.0,-200.0,-200.0
116,-200.0,0.0,-200.0,-200.0
117,-200.0,0.0,-200.0,-200.0
118,-200.0,0.0,-200.0,-200.0
119,-200.0,0.0,-200.0,-200.0
120,-200.0,0.0,-200.0,-200.0
121,-200.0,0.0,-200.0,-200.0
122,-200.0,0.0,-200.0,-200.0
123,-200.0,0.0,-200.0,-200.0
124,-200.0,0.0,-200.0,-200.0
125,-200.0,0.0,-200.0,-200.0
126,-200.0,0.0,-200.0,-200.0
127,-200.0,0.0,-200.0,-200.0
128,-200.0,0.0,-200.0,-200.0
129,-200.0,0.0,-200.0,-200.0
130,-200.0,0.0,-200.0,-200.0
131,-200.0,0.0,-200.0,-200.0
132,-200.0,0.0,-200.0,-200.0
133,-200.0,0.0,-200.0,-200.0
134,-200.0,0.0,-200.0,-200.0
135,-200.0,0.0,-200.0,-200.0
136,-200.0,0.0,-200.0,-200.0
