epoch,mean_best,std_best,min_best,max_best
0,133526659757.5643,0.0,133526659757.5643,133526659757.5643
1,96933653071.11082,0.0,96933653071.11082,96933653071.11082
2,49674602850.41357,0.0,49674602850.41357,49674602850.41357
3,33225497940.054596,0.0,33225497940.054596,33225497940.054596
4,20291613906.226624,0.0,20291613906.226624,20291613906.226624
5,11799615944.757938,0.0,11799615944.757938,11799615944.757938
6,5309682259.907178,0.0,5309682259.907178,5309682259.907178
7,3378286223.6679387,0.0,3378286223.6679387,3378286223.6679387
8,2059838664.0630832,0.0,2059838664.0630832,2059838664.0630832
9,1940247915.7078586,0.0,1940247915.7078586,1940247915.7078586
10,1323040801.0558407,0.0,1323040801.0558407,1323040801.0558407
11,1060798591.4778299,0.0,1060798591.4778299,1060798591.4778299
12,908327826.6953112,0.0,908327826.6953112,908327826.6953112
13,497515806.65940064,0.0,497515806.65940064,497515806.65940064
14,460265287.1795627,0.0,460265287.1795627,460265287.1795627
15,392645561.65381145,0.0,392645561.65381145,392645561.65381145
16,265442102.48341852,0.0,265442102.48341852,265442102.48341852
17,206869689.8107213,0.0,206869689.8107213,206869689.8107213
18,157892398.29539526,0.0,157892398.29539526,157892398.29539526
19,131679989.67883024,0.0,131679989.67883024,131679989.67883024
20,126232557.98223317,0.0,126232557.98223317,126232557.98223317
21,99057429.07455586,0.0,99057429.07455586,99057429.07455586
22,97950806.46412562,0.0,97950806.46412562,97950806.46412562
23,84620254.71323022,0.0,84620254.71323022,84620254.71323022
24,80366474.08395581,0.0,80366474.08395581,80366474.08395581
25,72842606.79312159,0.0,72842606.79312159,72842606.79312159
26,64145889.39463199,0.0,64145889.39463199,64145889.39463199
27,51862997.75343793,0.0,51862997.75343793,51862997.75343793
28,51527146.023290455,0.0,51527146.023290455,51527146.023290455
29,40036516.07266495,0.0,40036516.07266495,40036516.07266495
30,33415242.755461812,0.0,33415242.755461812,33415242.755461812
31,30614668.38671533,0.0,30614668.38671533,30614668.38671533
32,26627578.024687845,0.0,26627578.024687845,26627578.024687845
33,26627578.024687845,0.0,26627578.024687845,26627578.024687845
34,23806943.919004202,0.0,23806943.919004202,23806943.919004202
35,20926702.20475755,0.0,20926702.20475755,20926702.20475755
36,17868638.605227526,0.0,17868638.605227526,17868638.605227526
37,16804119.34515494,0.0,16804119.34515494,16804119.34515494
38,15565722.731688451,0.0,15565722.731688451,15565722.731688451
39,12585097.981372159,0.0,12585097.981372159,12585097.981372159
40,11981952.878242055,0.0,11981952.878242055,11981952.878242055
41,11489837.037587265,0.0,11489837.037587265,11489837.037587265
42,10302711.76018103,0.0,10302711.76018103,10302711.76018103
43,9877291.837505149,0.0,9877291.837505149,9877291.837505149
44,9238989.822266355,0.0,9238989.822266355,9238989.822266355
45,8722384.765583202,0.0,8722384.765583202,8722384.765583202
46,7993311.5925803045,0.0,7993311.5925803045,7993311.5925803045
47,7377020.946227664,0.0,7377020.946227664,7377020.946227664
48,6784213.4276581295,0.0,6784213.4276581295,6784213.4276581295
49,5775560.223401171,0.0,5775560.223401171,5775560.223401171
50,5332026.602624798,0.0,5332026.602624798,5332026.602624798
51,4571394.378058249,0.0,4571394.378058249,4571394.378058249
52,4464973.557904782,0.0,4464973.557904782,4464973.557904782
53,3771644.0193759752,0.0,3771644.0193759752,3771644.0193759752
54,3428245.7478456297,0.0,3428245.7478456297,3428245.7478456297
55,3068349.2753815786,0.0,3068349.2753815786,3068349.2753815786
56,2771923.0367683256,0.0,2771923.0367683256,2771923.0367683256
57,2337992.8301410545,0.0,2337992.8301410545,2337992.8301410545
58,2272306.1083616144,0.0,2272306.1083616144,2272306.1083616144
59,1892052.4201598647,0.0,1892052.4201598647,1892052.4201598647
60,1758653.0189817392,0.0,1758653.0189817392,1758653.0189817392
61,1588704.893201104,0.0,1588704.893201104,1588704.893201104
62,1372942.6492063128,0.0,1372942.6492063128,1372942.6492063128
63,1291179.2409286404,0.0,1291179.2409286404,1291179.2409286404
64,1190976.6801597618,0.0,1190976.6801597618,1190976.6801597618
65,1060319.4481197048,0.0,1060319.4481197048,1060319.4481197048
