epoch,mean_best,std_best,min_best,max_best
0,-31.0,0.0,-31.0,-31.0
1,-35.0,0.0,-35.0,-35.0
2,-35.0,0.0,-35.0,-35.0
3,-38.0,0.0,-38.0,-38.0
4,-39.0,0.0,-39.0,-39.0
5,-40.0,0.0,-40.0,-40.0
6,-42.0,0.0,-42.0,-42.0
7,-43.0,0.0,-43.0,-43.0
8,-44.0,0.0,-44.0,-44.0
9,-44.0,0.0,-44.0,-44.0
10,-46.0,0.0,-46.0,-46.0
11,-47.0,0.0,-47.0,-47.0
12,-48.0,0.0,-48.0,-48.0
13,-48.0,0.0,-48.0,-48.0
14,-48.0,0.0,-48.0,-48.0
15,-48.0,0.0,-48.0,-48.0
16,-49.0,0.0,-49.0,-49.0
17,-49.0,0.0,-49.0,-49.0
18,-50.0,0.0,-50.0,-50.0
19,-50.0,0.0,-50.0,-50.0
20,-51.0,0.0,-51.0,-51.0
21,-51.0,0.0,-51.0,-51.0
22,-51.0,0.0,-51.0,-51.0
23,-51.0,0.0,-51.0,-51.0
24,-52.0,0.0,-52.0,-52.0
25,-52.0,0.0,-52.0,-52.0
26,-52.0,0.0,-52.0,-52.0
27,-52.0,0.0,-52.0,-52.0
28,-52.0,0.0,-52.0,-52.0
29,-52.0,0.0,-52.0,-52.0
30,-53.0,0.0,-53.0,-53.0
31,-53.0,0.0,-53.0,-53.0
32,-53.0,0.0,-53.0,-53.0
33,-53.0,0.0,-53.0,-53.0
34,-53.0,0.0,-53.0,-53.0
35,-53.0,0.0,-53.0,-53.0
36,-54.0,0.0,-54.0,-54.0
37,-54.0,0.0,-54.0,-54.0
38,-54.0,0.0,-54.0,-54.0
39,-54.0,0.0,-54.0,-54.0
40,-54.0,0.0,-54.0,-54.0
41,-54.0,0.0,-54.0,-54.0
42,-55.0,0.0,-55.0,-55.0
43,-55.0,0.0,-55.0,-55.0
44,-56.0,0.0,-56.0,-56.0
45,-56.0,0.0,-56.0,-56.0
46,-56.0,0.0,-56.0,-56.0
47,-56.0,0.0,-56.0,-56.0
48,-56.0,0.0,-56.0,-56.0
